Rapport sur les mots clés pour le Réseau de Recherche
Toute la période
État des mots clés,Mot clé,Type de correspondance,Campagne,Groupe d'annonces,État,Motifs de l'état,URL finale,Impr.,CTR,Code de la devise,Coût,Clics,Taux de conv.,Conversions,CPC moy.,Coût/conv.
Activé,[domaine séminaire ile de france],Mot clé exact,INTENTION_LUXE,Chateaux_General,Éligible,,,13,"30,77%",ILS,"105,14",4,"0,00%","0,00","26,29","0,00"
Mis en veille,[location château séminaire ile de france],Mot clé exact,INTENTION_LUXE,Chateaux_General,En veille,en veille; rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[séminaire au vert proche paris],Mot clé exact,INTENTION_LUXE,Chateaux_General,Éligible,,,7,"0,00%",ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[salle séminaire chateau],Mot clé exact,INTENTION_LUXE,Chateaux_General,Éligible,,,4,"0,00%",ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[séminaire 92],Mot clé exact,SNIPER_GEO_IDF,Paris_92,Éligible,,,13,"7,69%",ILS,"41,54",1,"0,00%","0,00","41,54","0,00"
Mis en veille,[salle séminaire hauts de seine],Mot clé exact,SNIPER_GEO_IDF,Paris_92,En veille,en veille; rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Mis en veille,[lieu séminaire 92],Mot clé exact,SNIPER_GEO_IDF,Paris_92,En veille,en veille; rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Mis en veille,[séminaire proche la défense],Mot clé exact,SNIPER_GEO_IDF,Paris_92,En veille,en veille; rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Mis en veille,[domaine séminaire hauts de seine],Mot clé exact,SNIPER_GEO_IDF,Paris_92,En veille,en veille; rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[séminaire hauts de seine],Mot clé exact,SNIPER_GEO_IDF,Paris_92,Éligible,,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Mis en veille,[chateau séminaire 92],Mot clé exact,SNIPER_GEO_IDF,Paris_92,En veille,en veille; rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Mis en veille,[location chateau 92 entreprise],Mot clé exact,SNIPER_GEO_IDF,Paris_92,En veille,en veille; rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Mis en veille,[salle réunion 92],Mot clé exact,SNIPER_GEO_IDF,Paris_92,En veille,en veille; rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Mis en veille,[domaine séminaire 92],Mot clé exact,SNIPER_GEO_IDF,Paris_92,En veille,en veille; rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[salle séminaire 92],Mot clé exact,SNIPER_GEO_IDF,Paris_92,Éligible,,,10,"10,00%",ILS,"22,92",1,"0,00%","0,00","22,92","0,00"
Mis en veille,[organisation séminaire 92],Mot clé exact,SNIPER_GEO_IDF,Paris_92,En veille,en veille; rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Mis en veille,[lieu séminaire hauts de seine],Mot clé exact,SNIPER_GEO_IDF,Paris_92,En veille,en veille; rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Mis en veille,[chateau séminaire hauts de seine],Mot clé exact,SNIPER_GEO_IDF,Paris_92,En veille,en veille; rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Mis en veille,[séminaire ouest parisien],Mot clé exact,SNIPER_GEO_IDF,Paris_92,En veille,en veille; rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[salle réunion hauts de seine],Mot clé exact,SNIPER_GEO_IDF,Paris_92,Éligible,,,2,"0,00%",ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Mis en veille,[location chateau hauts de seine entreprise],Mot clé exact,SNIPER_GEO_IDF,Paris_92,En veille,en veille; rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Mis en veille,[domaine séminaire 60],Mot clé exact,SNIPER_GEO_IDF,Chantilly_60,En veille,en veille; rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[séminaire oise],Mot clé exact,SNIPER_GEO_IDF,Chantilly_60,Éligible,,,21,"0,00%",ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Mis en veille,[chateau séminaire oise],Mot clé exact,SNIPER_GEO_IDF,Chantilly_60,En veille,en veille; rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Mis en veille,[lieu séminaire 60],Mot clé exact,SNIPER_GEO_IDF,Chantilly_60,En veille,en veille; rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Mis en veille,[séminaire résidentiel oise],Mot clé exact,SNIPER_GEO_IDF,Chantilly_60,En veille,en veille; rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Mis en veille,[séminaire résidentiel chantilly],Mot clé exact,SNIPER_GEO_IDF,Chantilly_60,En veille,en veille; rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Mis en veille,[chateau séminaire 60],Mot clé exact,SNIPER_GEO_IDF,Chantilly_60,En veille,en veille; rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[séminaire chantilly],Mot clé exact,SNIPER_GEO_IDF,Chantilly_60,Éligible,,,57,"12,28%",ILS,"211,02",7,"0,00%","0,00","30,15","0,00"
Mis en veille,[domaine séminaire oise],Mot clé exact,SNIPER_GEO_IDF,Chantilly_60,En veille,en veille; rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[salle séminaire oise],Mot clé exact,SNIPER_GEO_IDF,Chantilly_60,Éligible,,,3,"0,00%",ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Mis en veille,[location chateau oise entreprise],Mot clé exact,SNIPER_GEO_IDF,Chantilly_60,En veille,en veille; rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[chateau séminaire chantilly],Mot clé exact,SNIPER_GEO_IDF,Chantilly_60,Éligible,,,1,"100,00%",ILS,"38,70",1,"0,00%","0,00","38,70","0,00"
Mis en veille,[salle séminaire 60],Mot clé exact,SNIPER_GEO_IDF,Chantilly_60,En veille,en veille; rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Mis en veille,[location chateau 60 entreprise],Mot clé exact,SNIPER_GEO_IDF,Chantilly_60,En veille,en veille; rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[lieu séminaire oise],Mot clé exact,SNIPER_GEO_IDF,Chantilly_60,Éligible,,,8,"12,50%",ILS,"19,22",1,"0,00%","0,00","19,22","0,00"
Mis en veille,[salle séminaire chantilly],Mot clé exact,SNIPER_GEO_IDF,Chantilly_60,En veille,en veille; rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[lieu séminaire chantilly],Mot clé exact,SNIPER_GEO_IDF,Chantilly_60,Éligible,,,5,"0,00%",ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Mis en veille,[location chateau chantilly entreprise],Mot clé exact,SNIPER_GEO_IDF,Chantilly_60,En veille,en veille; rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Mis en veille,[séminaire 60],Mot clé exact,SNIPER_GEO_IDF,Chantilly_60,En veille,en veille; rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[séminaire yvelines],Mot clé exact,SNIPER_GEO_IDF,Chevreuse_78,Éligible,,,11,"9,09%",ILS,"32,40",1,"0,00%","0,00","32,40","0,00"
Activé,[lieu séminaire 78],Mot clé exact,SNIPER_GEO_IDF,Chevreuse_78,Éligible,,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[domaine séminaire 78],Mot clé exact,SNIPER_GEO_IDF,Chevreuse_78,Éligible,,,1,"100,00%",ILS,"31,44",1,"0,00%","0,00","31,44","0,00"
Mis en veille,[location chateau yvelines entreprise],Mot clé exact,SNIPER_GEO_IDF,Chevreuse_78,En veille,en veille; rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[séminaire vallée de chevreuse],Mot clé exact,SNIPER_GEO_IDF,Chevreuse_78,Éligible,,,7,"42,86%",ILS,"108,03",3,"0,00%","0,00","36,01","0,00"
Activé,[organisation séminaire yvelines],Mot clé exact,SNIPER_GEO_IDF,Chevreuse_78,Éligible,,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[salle séminaire yvelines],Mot clé exact,SNIPER_GEO_IDF,Chevreuse_78,Éligible,,,2,"0,00%",ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Mis en veille,[séminaire résidentiel 78],Mot clé exact,SNIPER_GEO_IDF,Chevreuse_78,En veille,en veille; rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Mis en veille,[location chateau 78 entreprise],Mot clé exact,SNIPER_GEO_IDF,Chevreuse_78,En veille,en veille; rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[séminaire chevreuse],Mot clé exact,SNIPER_GEO_IDF,Chevreuse_78,Éligible,,,7,"0,00%",ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Mis en veille,[chateau séminaire yvelines],Mot clé exact,SNIPER_GEO_IDF,Chevreuse_78,En veille,en veille; rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[séminaire résidentiel yvelines],Mot clé exact,SNIPER_GEO_IDF,Chevreuse_78,Éligible,,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Mis en veille,[chateau séminaire 78],Mot clé exact,SNIPER_GEO_IDF,Chevreuse_78,En veille,en veille; rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[séminaire 78],Mot clé exact,SNIPER_GEO_IDF,Chevreuse_78,Éligible,,,20,"5,00%",ILS,"32,30",1,"0,00%","0,00","32,30","0,00"
Activé,[lieu séminaire yvelines],Mot clé exact,SNIPER_GEO_IDF,Chevreuse_78,Éligible,,,2,"50,00%",ILS,"30,27",1,"0,00%","0,00","30,27","0,00"
Activé,[salle séminaire 78],Mot clé exact,SNIPER_GEO_IDF,Chevreuse_78,Éligible,,,9,"11,11%",ILS,"33,53",1,"0,00%","0,00","33,53","0,00"
Activé,[domaine séminaire yvelines],Mot clé exact,SNIPER_GEO_IDF,Chevreuse_78,Éligible,,,1,"0,00%",ILS,"0,00",0,"0,00%","0,00",0,"0,00"
 --,,"Total : Tous les mots clés, sauf ceux supprimés", --, --, --,,,298,"11,74%",ILS,"982,53",35,"0,00%","0,00","28,07","0,00"
,,Total : Mots clés dans votre compte,,,,,,406,"11,33%",ILS,"1129,84",46,"0,00%","0,00","24,56","0,00"
,,Total : Vos mots clés,,,,,,406,"11,33%",ILS,"1129,84",46,"0,00%","0,00","24,56","0,00"
,,Total : Correspondances étendues AI Max,,,,,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
,,Total : Correspondances de pages de destination AI Max,,,,,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
,,Total : Inclusions d'URL dans votre compte,,,,,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
,,Total : Compte,,,,,,406,"11,33%",ILS,"1129,84",46,"0,00%","0,00","24,56","0,00"
,,Total : Rechercher,,,,,,406,"11,33%",ILS,"1129,84",46,"0,00%","0,00","24,56","0,00"
